title,link,description,cap_xet_xu,ap_dung_an_le,loai,dinh_chinh,thong_tin
Bản án:số 190 ngày 11/08/2025 của TAND tỉnh Đắk Lắk(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903091t1cvn/chi-tiet-ban-an,"190 - S 11 8 2025 - Bản án HSPT - CT HÙNG - La Lan T -  Đ 260 - phạm tội vi phạm quy định về tham gia giao thông đường bộ 
                     (điều 260 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:190 - S 11 8 2025 - Bản án HSPT - CT HÙNG - La Lan T -  Đ 260
Bản án:số 189 ngày 11/08/2025 của TAND tỉnh Đắk Lắk(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903070t1cvn/chi-tiet-ban-an,"189 - S 11 8 2025 - Bản án HSPT - CT HÙNG - Sử Quốc D-  Đ 260 - phạm tội vi phạm quy định về tham gia giao thông đường bộ 
                     (điều 260 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:189 - S 11 8 2025 - Bản án HSPT - CT HÙNG - Sử Quốc D-  Đ 260
Bản án:số 179 ngày 07/08/2025 của TAND tỉnh Đắk Lắk(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903090t1cvn/chi-tiet-ban-an,"179 - C 07 8 2025 - Bản án HSPT - CT HÙNG - Lê Văn V và ĐP - Đ 173 - phạm tội trộm cắp tài sản 
                     (điều 173 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:179 - C 07 8 2025 - Bản án HSPT - CT HÙNG - Lê Văn V và ĐP - Đ 173
Bản án:số 178 ngày 07/08/2025 của TAND tỉnh Đắk Lắk(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903089t1cvn/chi-tiet-ban-an,"178 - C 07 8 2025 - Bản án HSPT - CT HÙNG - Ng Hồng X -  đ 134 - phạm tội cố ý gây thương tích hoặc gây tổn hại cho sức khỏe của người khác 
                     (điều 134 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:178 - C 07 8 2025 - Bản án HSPT - CT HÙNG - Ng Hồng X -  đ 134
Bản án:số 22 ngày 15/05/2025 của TAND tỉnh Đắk Lắk(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903087t1cvn/chi-tiet-ban-an,"22 2025 - BẢN ÁN - HSST - Trần Văn T và ĐP Đ 255 - CT HÙNG - phạm tội tổ chức sử dụng trái phép chất ma túy 
                     (điều 255 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Sơ thẩm,Không,Hình sự,0,Thông tin về vụ án:22 2025 - BẢN ÁN - HSST - Trần Văn T và ĐP Đ 255 - CT HÙNG
Quyết định:số 56 ngày 11/04/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896444t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Yêu cầu liên quan việc trọng tài thương mại Việt Nam giải quyết tranh chấp theo quy định của pháp luật về Trọng tài thương mại,Phúc thẩm,Không,Kinh doanh thương mại,0,Thông tin về vụ/việc:không hủy phán quyết trọng tài
Bản án:số 102 ngày 25/04/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896462t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về xây dựng,Phúc thẩm,Không,Kinh doanh thương mại,0,Thông tin về vụ/việc:không chấp nhận kháng cáo
Bản án:số 153 ngày 30/05/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896483t1cvn/chi-tiet-ban-an,"Quan hệ pháp luật:Tranh chấp về thuê, cho thuê, thuê mua",Phúc thẩm,Không,Kinh doanh thương mại,0,"Thông tin về vụ/việc:không chấp nhận kháng cáo, chấp nhận một phần yêu cầu"
Bản án:số 207 ngày 10/07/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896488t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về xây dựng,Phúc thẩm,Không,Kinh doanh thương mại,0,Thông tin về vụ/việc:không chấp nhận toàn bộ kháng cáo
Bản án:số 414 ngày 24/04/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896272t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về thừa kế tài sản,Phúc thẩm,Không,Dân sự,0,Thông tin về vụ/việc:Không chấp nhận kháng cáo của ông Nguyễn Văn T
Bản án:số 734 ngày 08/07/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896110t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về chia tài sản chung,Phúc thẩm,Không,Dân sự,0,Thông tin về vụ/việc:Chấp nhận yêu cầu kháng cáo của bị đơn
Quyết định:số 615 ngày 04/06/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1895988t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng vay tài sản,Phúc thẩm,Không,Dân sự,0,Thông tin về vụ/việc:Đình chỉ xét xử phúc thẩm vụ án dân sự thụ lý số 451/2025/TLPT-DS
Bản án:số 70 ngày 04/04/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896042t1cvn/chi-tiet-ban-an,"Quan hệ pháp luật:Tranh chấp về thuê, cho thuê, thuê mua",Phúc thẩm,Không,Kinh doanh thương mại,0,"Thông tin về vụ/việc:không chấp nhận kháng cáo, chấp nhận một phần yêu cầu"
Bản án:số 232 ngày 31/07/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896057t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng tín dụng,Phúc thẩm,Không,Kinh doanh thương mại,0,"Thông tin về vụ/việc:chấp nhận kháng cáo, hủy bản án"
Bản án:số 211 ngày 17/07/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896069t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về mua bán hàng hóa,Phúc thẩm,Không,Kinh doanh thương mại,0,Thông tin về vụ/việc:không chấp nhận kháng cáo
Quyết định:số 232 ngày 28/07/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1896074t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Yêu cầu liên quan việc trọng tài thương mại Việt Nam giải quyết tranh chấp theo quy định của pháp luật về Trọng tài thương mại,Phúc thẩm,Không,Kinh doanh thương mại,0,Thông tin về vụ/việc:không hủy phán quyết
Quyết định:số 5 ngày 22/05/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1895990t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Yêu cầu liên quan việc trọng tài thương mại Việt Nam giải quyết tranh chấp theo quy định của pháp luật về Trọng tài thương mại,Phúc thẩm,Không,Kinh doanh thương mại,0,"Thông tin về vụ/việc:Không chấp nhận đơn đề nghị, giữ nguyên quyết định không mở thủ tục phá sản"
Bản án:số 188 ngày 19/06/2025 của TAND TP. Hồ Chí Minh(08.09.2025),https://congbobanan.toaan.gov.vn/2ta1895957t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về cung ứng dịch vụ,Phúc thẩm,Không,Kinh doanh thương mại,0,"Thông tin về vụ/việc:k chấp nhận kháng cáo, y án sơ thẩm"
Bản án:số 379 ngày 23/07/2025 của TAND TP. Hồ Chí Minh(07.09.2025),https://congbobanan.toaan.gov.vn/2ta1895250t1cvn/chi-tiet-ban-an,"Cho vay lãi nặng trong giao dịch dân sự - phạm tội cho vay nặng lãi 
                     (điều 163 Bộ luật hình sự năm 1999)",Sơ thẩm,Không,Hình sự,0,Thông tin về vụ án:Cho vay lãi nặng trong giao dịch dân sự
Bản án:số 562 ngày 22/05/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894689t1cvn/chi-tiet-ban-an,"Quan hệ pháp luật:Đòi bồi thường thiệt hại ngoài hợp đồng về sức khỏe, tính mạng",Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:Án phí dân sự sơ thẩm: Nguyên đơn miễn án phí, Hoàn lại cho bà Ngô Thị Thanh Huyền số tiền tạm ứng án phí đã nộp là 344.000 đồng.
Án phí dân sự phúc thẩm: Nguyên đơn miễn án phí, Hoàn lại cho bà Ngô Thị Thanh Huyền số tiền tạm ứng án phí đã nộp là 300.000 đồng"
Bản án:số 553 ngày 20/05/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894725t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Đòi bồi thường thiệt hại ngoài hợp đồng về tài sản,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:Án phí dân sự sơ thẩm: nguyên đơn bà Trần Thị Châu Giang được miễn. Bà được nhận lại số tiền tạm ứng án phí đã nộp là 1.017.000 đồng 
Hoàn trả cho bà Trần Thị Châu Giang số tiền tạm nộp án phí là 300.000 đồng 
Án phí dân sự phúc thẩm: nguyên đơn bà Trần Thị Châu Giang được miễn, được nhận lại số tiền tạm ứng án phí đã nộp là 300.000 đồng"
Quyết định:số 342 ngày 20/06/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894735t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về thừa kế tài sản,Sơ thẩm,Không,Dân sự,0,Thông tin về vụ/việc:Án phí dân sự sơ thẩm: các đương sự phải chịu 50% mức án phí tương ứng với giá trị phần tài sản được chia.
Quyết định:số 624 ngày 18/08/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894746t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về chia tài sản chung,Sơ thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:Chi phí tố tụng nguyên đơn bà Nguyễn Hoàng Lan Phương tự nguyện chịu. 
Án phí dân sự sơ thẩm: bà Nguyễn Hoàng Lan Phương và ông Nguyễn Thanh Sang được miễn nộp án phí dân sự sơ thẩm."
Bản án:số 749 ngày 11/07/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894555t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng tặng cho tài sản,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Nguyễn Thanh H
BĐ: Huỳnh Hiếu N
Quyết định:
1. Không chấp nhận kháng cáo của bà Nguyễn Thanh H
2. Giữ nguyên Bản án sơ thẩm số 2021/2023/DS-ST ngày 29-9-2023 của Tòa án nhân dân quận Bình Thạnh, Thành phố Hồ Chí Minh.
Và Quyết định sửa chữa, bổ sung bản án số 03/2025/QĐ-SCBSBA ngày 08/7/2025, Tòa án nhân dân quận Bình Thạnh (nay là Tòa án khu vực 5), Thành phố Hồ Chí Minh.
3. Kiến nghị cơ quan Thuế Thành phố Hồ Chí Minh truy thu thuế thu nhập cá nhân trong việc chuyển nhượng bất động sản đối với ông Huỳnh Hiếu N theo Hợp đồng chuyển nhượng quyền sử dụng đất và mua bán nhà ở số 000275 ngày 11/01/2019 tại Văn phòng C2 giữa Huỳnh Hiếu N và bà Hoàng Thị C với giá chuyển nhượng là 8.270.000.000 (Tám tỷ, hai trăm bảy mươi triệu) đồng.
4. Án phí dân sự phúc thẩm: 300.000 (Ba trăm nghìn) đồng bà Nguyễn Thanh H phải chịu án phí phúc thẩm nhưng được trừ vào số tiền 300.000 đồng theo Biên lai thu tạm ứng án phí, lệ phí Tòa án số 0029126 ngày 25/9/2024 của Chi cục Thi hành án dân sự quận Bình Thạnh, Thành phố Hồ Chí Minh. Bà Nguyễn Thanh H đã nộp đủ án phí phúc thẩm."
Bản án:số 459 ngày 05/05/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894559t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng vay tài sản,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Tô Đức N
BĐ: Công ty TNHH MTV B1
Quyết định:
1. Không chấp nhận yêu cầu kháng cáo của bị đơn- Công ty TNHH MTV B1
2. Giữ nguyên Bản án dân sự sơ thẩm số 130/2024/DS-ST ngày 17-9-2024 của Tòa án nhân dân Quận 3, Thành phố Hồ Chí Minh.
3. Đình chỉ xét xử phúc thẩm đối với yêu cầu kháng cáo của ông Tô Đức N và kháng cáo của Công ty TNHH D."
Bản án:số 859 ngày 05/08/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894567t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng chuyển nhượng quyền sử dụng đất,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Nguyễn Văn K
BĐ: Lê Ngọc M
1. Không chấp nhận kháng cáo của bị đơn bà Lê Ngọc M.
2. Giữ nguyên Bản án sơ thẩm số 180/2025/DS-ST ngày 09-4-2025 của Tòa án nhân dân Quận 12, Thành phố Hồ Chí Minh.
3. Về án phí dân sự phúc thẩm: Bà Lê Ngọc M không phải chịu án phí dân sự phúc thẩm."
Bản án:số 418 ngày 25/04/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894580t1cvn/chi-tiet-ban-an,"Quan hệ pháp luật:Đòi bồi thường thiệt hại ngoài hợp đồng về danh dự, nhân phẩm, uy tín",Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Phan Thị H
       Đoàn Minh T
BĐ: Lư Thị Bạch T1
Quyết định:
1. Không chấp nhận kháng cáo ông Đoàn Minh T về việc hủy Bản án sơ thẩm số 1281/2024/DS-ST ngày 30-9-2024 của Tòa án nhân dân quận Phú Nhuận, Thành phố Hồ Chí Minh.
2. Giữ nguyên Bản án sơ thẩm số 1281/2024/DS-ST ngày 30-9-2024 của Tòa án nhân dân quận Phú Nhuận, Thành phố Hồ Chí Minh."
Bản án:số 393 ngày 22/04/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894592t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng tín dụng,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Ngân Hàng Thương mai cổ phần M
BĐ: Nguyễn Xuân T
       Phạm Thị Thanh P
Quyết định:
Tuyên xử: 
1. Không chấp nhận kháng cáo của ông Lê Văn L1.
2. Giữ nguyên Bản án sơ thẩm số 487/2024/DS-ST ngày 29-10-2024 của Tòa án nhân dân Quận 10, Thành phố Hồ Chí Minh."
Bản án:số 332 ngày 10/04/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894609t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp về quyền sở hữu và các quyền khác đối với tài sản,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Nguyễn Đình P
BĐ: Trần Quang L
Quyết định:
1. Chấp nhận kháng cáo của ông Nguyễn Đình P
2. Chấp nhận kháng nghị của Viện kiểm sát nhân dân huyện Nhà Bè.
3. Sửa Bản án dân sự sơ thẩm số 531/2024/DS-ST ngày 30/9/2024 của Tòa án nhân dân huyện Nhà Bè, Thành phố Hồ Chí Minh. Cụ thể:
3.1. Chấp nhận toàn bộ yêu cầu khởi kiện của ông Nguyễn Đình P
Buộc ông Trần Quang L phải trả cho ông Nguyễn Đình P số tiền 72.144.000 (Bảy mươi hai triệu, một trăm bốn mươi bốn nghìn) đồng.
3.2. Đình chỉ một phần yêu cầu của nguyên đơn đối với số tiền mua xe đạp là 48.700.000 đồng."
Quyết định:số 490 ngày 09/05/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894648t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp đất đai,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Võ Thanh H
BĐ: Hồ Hữu Thanh B
1. Đình chỉ xét xử phúc thẩm vụ án dân sự thụ lý số 357/2025/TLPT-DS ngày 17/3/2025 về việc ""Tranh chấp lối đi chung""
2. Bản án dân sự sơ thẩm số 43/2025/DS-ST ngày 21/01/2025 và Quyết định sửa chữa, bổ sung bản án sơ thẩm số 47/2025/QĐ-SCBSBA ngày 13/3/2025 của Tòa án nhân dân quận Gò Vấp, Thành phố Hồ Chí Minh có hiệu lực pháp luật kể từ ngày ra quyết định này.
3. Ghi nhận sự tự nguyện của ông Võ Thanh H hỗ trợ cho ông Hồ Hữu Thanh B và bà Hồ Thị Tuyết L chi phí di dời tường rào và chi phí xây dựng cổng mới."
Quyết định:số 880 ngày 08/08/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894651t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp liên quan đến yêu cầu tuyên bố văn bản công chứng vô hiệu,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Nguyễn Thị H1
BĐ: Phan Thị H
        Nguyễn Ngọc Q
Quyết định:
1. Đình chỉ xét xử phúc thẩm vụ án dân sự thụ lý số 523/2025/TLPT-DS ngày 09/6/2025 về việc “Tranh chấp liên quan đến yêu cầu tuyên bố văn bản công chứng vô hiệu”
2. Bản án dân sự sơ thẩm số Bản án dân sự sơ thẩm số 185/2025/DS-ST ngày 23/4/2025 của Tòa án nhân dân quận Gò Vấp, Thành phố Hồ Chí Minh có hiệu lực pháp luật kể từ ngày ra quyết định này."
Bản án:số 685 ngày 19/06/2025 của TAND TP. Hồ Chí Minh(06.09.2025),https://congbobanan.toaan.gov.vn/2ta1894658t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng hợp tác,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:NĐ: Nguyễn Thị Minh L
BĐ: Công ty cổ phần L1
        Ngân hàng Thương mại cổ phần S
Quyết định:
1. Không chấp nhận kháng cáo của bà Nguyễn Thị Minh L về việc sửa Bản án dân sự sơ thẩm số 908/2024/DS-ST ngày 18/12/2024 của Tòa án nhân dân quận Tân Bình, Thành phố Hồ Chí Minh
2. Hủy Bản án dân sự sơ thẩm số 908/2024/DS-ST ngày 18/12/2024 của Tòa án nhân dân quận Tân Bình, Thành phố Hồ Chí Minh. 
Giao hồ sơ vụ án về cho Tòa án nhân dân quận Tân Bình giải quyết vụ án sơ thẩm theo quy định chung."
